Points,Expansions,PlayerCount,Platform,factionsInGame.1,factionsInGame.2,factionsInGame.3,factionsInGame.4,factionsInGame.5,factionsInGame.6,factionsInGame.7,factionsInGame.8,WinningFaction,Index
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Emirates of Hacan"," Crimson Rebellion"," Argent Flight"," Xxcha Kingdom"," Sardakk N'orr"," Universities of Jol-Nar","","","Xxcha Kingdom",353
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Titans of Ul"," Federation of Sol"," Crimson Rebellion"," Naaz-Rokha Alliance"," Yssaril Tribes"," Universities of Jol-Nar","","","Naaz-Rokha Alliance",355
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Xxcha Kingdom"," Federation of Sol"," Sardakk N'orr"," Yin Brotherhood"," Ghosts of Creuss"," Arborec","","","Sardakk N'orr",356
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Arborec"," Barony of Letnev"," Yin Brotherhood"," Federation of Sol"," Naalu Collective"," Ghosts of Creuss","","","Naalu Collective",359
10,"Prophecy of Kings and Thunder's Edge",6,"Async","L1Z1X Mindnet"," Barony of Letnev"," Empyrean"," Titans of Ul"," Yin Brotherhood"," Federation of Sol","","","Barony of Letnev",360
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Naaz-Rokha Alliance"," Federation of Sol"," Nomad"," Titans of Ul"," Nekro Virus"," Yssaril Tribes","","","Nekro Virus",361
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Argent Flight"," Naaz-Rokha Alliance"," Ghosts of Creuss"," Federation of Sol"," Naalu Collective"," Mahact Gene-Sorcerers","","","Naaz-Rokha Alliance",364
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Keleres ~ Mentak"," Xxcha Kingdom"," L1Z1X Mindnet"," Clan of Saar"," Sardakk N'orr"," Vuil'raith Cabal","","","Vuil'raith Cabal",369
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Nekro Virus"," Titans of Ul"," Emirates of Hacan"," Yssaril Tribes"," Embers of Muaat"," Arborec","","","Embers of Muaat",374
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Ral Nel Consortium"," Sardakk N'orr"," Winnu"," Universities of Jol-Nar"," Xxcha Kingdom"," Nomad","","","Ral Nel Consortium",376
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Arborec"," Keleres ~ Mentak"," Ral Nel Consortium"," Argent Flight"," Xxcha Kingdom"," Crimson Rebellion","","","Xxcha Kingdom",377
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Empyrean"," Emirates of Hacan"," Nomad"," Yssaril Tribes"," Nekro Virus"," Naalu Collective","","","Emirates of Hacan",380
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Keleres ~ Xxcha"," Arborec"," Titans of Ul"," Mentak Coalition"," Yssaril Tribes"," Naalu Collective","","","Naalu Collective",385
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Xxcha Kingdom"," Deepwrought Scholarate"," Empyrean"," Nomad"," Emirates of Hacan"," Crimson Rebellion","","","Deepwrought Scholarate",397
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Embers of Muaat"," Firmament"," Xxcha Kingdom"," Nomad"," Ghosts of Creuss"," L1Z1X Mindnet","","","Firmament",398
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Ral Nel Consortium"," Sardakk N'orr"," Emirates of Hacan"," Mahact Gene-Sorcerers"," Mentak Coalition"," Empyrean","","","Mahact Gene-Sorcerers",400
